id,danceability,energy,loudness,speechiness,duration_ms,acousticness,instrumentalness,liveness,valence,genre,song_name
2Vc6NJ9PW9gD9q343XFRKx,0.831,0.8140000000000001,-7.364,0.42,124539,0.0598,0.0134,0.0556,0.389,Dark Trap,Mercury: Retrograde
7pgJBLVz5VmnL7uGHmRj6p,0.7190000000000001,0.493,-7.23,0.0794,224427,0.401,0.0,0.118,0.124,Dark Trap,Pathology
0vSWgAlfpye0WCGeNmuNhy,0.85,0.893,-4.783,0.0623,98821,0.0138,4.14e-06,0.372,0.0391,Dark Trap,Symbiote
0VSXnJqQkwuH2ei1nOQ1nu,0.476,0.7809999999999999,-4.71,0.103,123661,0.0237,0.0,0.114,0.175,Dark Trap,ProductOfDrugs (Prod. The Virus and Antidote)
4jCeguq9rMTlbMmPHuO7S3,0.7979999999999999,0.624,-7.667999999999999,0.293,123298,0.217,0.0,0.166,0.591,Dark Trap,Venom
6fsypiJHyWmeINsOLC1cos,0.721,0.568,-11.295,0.414,112511,0.0452,0.212,0.128,0.109,Dark Trap,Gatteka
0XfQbq7DaMOmVXgQ71eA6E,0.718,0.6679999999999999,-4.162,0.1369999999999999,77584,0.0254,0.0078,0.124,0.038,Dark Trap,kamikaze (+ pulse)
0LLeuNBWPOg3XA73yab3PT,0.6940000000000001,0.711,-5.525,0.221,127524,0.0397,0.0,0.1119999999999999,0.283,Dark Trap,T.R.U. (Totally Rotten Underground)
37gqBnUAZe8BY8WR56kDNk,0.774,0.7509999999999999,-2.445,0.198,140326,0.0614,0.0,0.0728,0.1889999999999999,Dark Trap,I Put My Dick in Your Mental
2ggqfj97qyiORmXoVFzP5j,0.893,0.907,-10.406,0.367,121979,0.152,0.0311,0.5579999999999999,0.302,Dark Trap,Andromeda
7EL7ifncK2PWFYThJjzR25,0.8640000000000001,0.365,-10.219,0.0655,101172,0.187,0.0,0.1159999999999999,0.0478,Dark Trap,BRAINFOOD
0QiF3l617bIKVrkBqgdMHE,0.736,0.932,-3.726,0.271,115775,0.146,0.0025,0.182,0.18,Dark Trap,Troll Under the Bridge
